Line,Movie,Character,Dialogue,Joy,Sadness,Disgust,Fear,Anger,Surprise,Calmness,Confusion,Anxiety,Lust
1,SW_EpisodeVI,SHUTTLE CAPTAIN,"Command station, this is ST 321. Code Clearance Blue. We're starting our approach. Deactivate the security shield.",0,0,0,0,0,0,10,0,2,0
2,SW_EpisodeVI,DEATH STAR CONTROLLER,The security deflector shield will be deactivated when we have confirmation of your code transmission. Stand by... You are clear to proceed.,0,0,0,0,0,0,10,0,0,0
3,SW_EpisodeVI,SHUTTLE CAPTAIN,We're starting our approach.,2,0,0,1,0,0,10,0,3,0
4,SW_EpisodeVI,OFFICER,Inform the commander that Lord Vader's shuttle has arrived.,0,0,0,5,0,0,8,0,5,0
5,SW_EpisodeVI,OPERATOR,"Yes, sir.",0,0,0,3,0,0,7,0,5,0
6,SW_EpisodeVI,JERJERROD,"Lord Vader, this is an unexpected pleasure. We're honored by your presence.",10,0,0,5,0,10,0,3,5,0
7,SW_EpisodeVI,VADER,"You may dispense with the pleasantries, Commander. I'm here to put you back on schedule.",0,0,5,0,8,0,10,0,0,0
8,SW_EpisodeVI,JERJERROD,"I assure you, Lord Vader, my men are working as fast as they can.",0,2,0,8,2,0,1,0,10,0
9,SW_EpisodeVI,VADER,Perhaps I can find new ways to motivate them.,0,0,5,0,10,0,10,0,0,0
10,SW_EpisodeVI,JERJERROD,"I tell you, this station will be operational as planned.",0,2,0,9,0,2,0,0,10,0
11,SW_EpisodeVI,VADER,The Emperor does not share your optimistic appraisal of the situation.,0,0,5,0,10,0,7,0,0,0
12,SW_EpisodeVI,JERJERROD,But he asks the impossible. I need more men.,0,4,0,7,0,0,0,4,8,0
13,SW_EpisodeVI,VADER,Then perhaps you can tell him when he arrives.,0,0,0,0,5,0,8,0,0,0
14,SW_EpisodeVI,JERJERROD,The Emperor's coming here?,2,1,1,4,0,8,0,10,6,0
15,SW_EpisodeVI,VADER,"That is correct, Commander. And he is most displeased with your apparent lack of progress.",0,4,6,0,8,0,6,0,0,0
16,SW_EpisodeVI,JERJERROD,We shall double our efforts.,2,1,0,5,0,0,0,0,7,0
17,SW_EpisodeVI,VADER,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am.",2,4,0,3,4,0,2,0,2,0
18,SW_EpisodeVI,THREEPIO,"Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place.",0,5,6,7,0,0,0,0,10,0
19,SW_EpisodeVI,THREEPIO,"Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, You'd probably short-circuit.",0,0,0,6,0,0,0,3,10,0
20,SW_EpisodeVI,THREEPIO,"Artoo, are you sure this is the right place? I better knock, I suppose.",0,0,0,7,0,3,0,10,4,0
21,SW_EpisodeVI,THREEPIO,There doesn't seem to be anyone there. Let's go back and tell Master Luke.,0,0,0,4,0,2,2,0,0,0
22,SW_EpisodeVI,STRANGE VOICE,Tee chuta hhat yudd!,0,0,0,3,7,0,0,0,0,0
23,SW_EpisodeVI,THREEPIO,Goodness gracious me!,0,0,4,10,0,10,0,5,10,0
24,SW_EpisodeVI,THREEPIO,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.,0,0,0,0,4,0,3,0,0,0
25,SW_EpisodeVI,THREEPIO,"I don't think they're going to let us in, Artoo. We'd better go.",0,3,0,4,2,0,1,6,5,0
26,SW_EpisodeVI,THREEPIO,"Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this.",0,0,0,7,0,10,0,0,7,0
27,SW_EpisodeVI,THREEPIO,"Oh, Artoo! Artoo, wait for me!",0,0,0,4,0,3,0,2,7,0
28,SW_EpisodeVI,THREEPIO,"Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no.",0,0,2,5,0,10,0,0,7,0
29,SW_EpisodeVI,BIB,Die Wanna Wanga!,0,0,0,0,10,0,0,0,0,0
30,SW_EpisodeVI,THREEPIO,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt.",0,0,2,5,0,10,0,0,7,0
31,SW_EpisodeVI,THREEPIO,"... and a gift. Gift, what gift?",0,0,0,3,0,6,0,10,3,0
32,SW_EpisodeVI,BIB,Nee Jabba no badda. Me chaade su goodie.,0,0,0,0,3,0,6,0,0,0
33,SW_EpisodeVI,THREEPIO,He says that our instructions are to give it only to Jabba himself.,0,0,0,4,0,0,3,0,0,0
34,SW_EpisodeVI,THREEPIO,I'm terribly sorry. I'm afraid he's ever so stubborn about these sort of things.,0,8,0,4,0,0,0,0,6,0
35,SW_EpisodeVI,BIB,Nudd Chaa.,0,0,0,0,0,0,0,0,0,0
36,SW_EpisodeVI,THREEPIO,"Artoo, I have a bad feeling about this.",0,2,0,7,0,0,0,0,10,0
37,SW_EpisodeVI,THREEPIO,Good morning.,10,0,0,0,0,0,10,0,0,0
38,SW_EpisodeVI,JABBA,Bo Shuda!,0,0,2,0,10,0,0,0,0,0
39,SW_EpisodeVI,THREEPIO,"The message, Artoo, the message.",0,0,0,3,0,0,0,0,3,0
40,SW_EpisodeVI,LUKE,"Greetings, Exalted One. Allow me to introduce myself. I am Luke Skywalker, Jedi Knight and friend to Captain Solo. I know that you are powerful, mighty Jabba, and that your anger with Solo must be equally powerful. I seek an audience with Your Greatness to bargain for Solo's life. With your wisdom, I'm sure that we can work out an arrangement which will be mutually beneficial and enable us to avoid any unpleasant confrontation. As a token of my goodwill, I present to you a gift: these two droids.",10,0,0,3,2,0,8,0,2,0
41,SW_EpisodeVI,THREEPIO,What did he say?,0,0,0,10,0,10,0,10,10,0
42,SW_EpisodeVI,LUKE,... Both are hardworking and will serve you well.,7,0,0,0,0,0,10,0,0,0
43,SW_EpisodeVI,THREEPIO,"This can't be! Artoo, you're playing the wrong message.",0,10,0,10,3,10,0,10,7,0
44,SW_EpisodeVI,JABBA,There will be no bargain.,0,0,0,0,7,0,7,0,0,0
45,SW_EpisodeVI,THREEPIO,We're doomed.,0,10,0,10,0,0,0,0,10,0
46,SW_EpisodeVI,JABBA,I will not give up my favorite decoration. I like Captain Solo where he is.,10,0,0,0,0,0,10,0,0,0
47,SW_EpisodeVI,THREEPIO,"Artoo, look! Captain Solo. And he's still frozen in carbonite.",0,5,5,3,0,10,0,0,0,0
48,SW_EpisodeVI,THREEPIO,What could possibly have come over Master Luke. Is it something I did? He never expressed any unhappiness with my work. Oh! Oh! Hold it! Ohh!,0,4,3,5,5,7,0,10,6,0
49,SW_EpisodeVI,NINEDENINE,"Ah, good. New acquisitions. You are a protocol droid, are you not?",8,0,0,0,0,4,9,10,0,0
50,SW_EpisodeVI,THREEPIO,"I am See-Threepio, human-cy...",8,0,0,0,0,0,10,0,0,0
51,SW_EpisodeVI,NINEDENINE,Yes or no will do.,0,0,0,0,5,0,5,0,0,0
52,SW_EpisodeVI,THREEPIO,"Oh. Well, yes.",10,0,0,0,0,4,0,3,4,0
53,SW_EpisodeVI,NINEDENINE,How many languages do you speak?,0,0,0,0,0,0,0,10,0,0
54,SW_EpisodeVI,THREEPIO,"I am fluent in over six million forms of communication, and can readily...",10,0,0,0,0,0,10,0,0,0
55,SW_EpisodeVI,NINEDENINE,Splendid! We have been without an interpreter since our master got angry with our last protocol droid and disintegrated him.,10,0,0,2,0,0,0,0,0,0
56,SW_EpisodeVI,THREEPIO,Disintegrated?,0,0,4,10,0,8,0,10,8,0
57,SW_EpisodeVI,NINEDENINE,Guard! This protocol droid might be useful. Fit him with a restraining bolt and take him back to His Excellency's main audience chamber.,8,0,0,0,3,0,0,0,0,0
58,SW_EpisodeVI,THREEPIO,"Artoo, don't leave me! Ohhh!",0,8,0,10,0,0,0,0,10,0
59,SW_EpisodeVI,NINEDENINE,"You're a feisty little one, but you'll soon learn some respect. I have need for you on the master's Sail Barge. And I think you'll fit in nicely.",3,0,0,0,5,5,6,0,0,0
60,SW_EpisodeVI,JABBA,Da Eitha!,0,0,0,0,8,4,0,0,0,0
61,SW_EpisodeVI,OOLA,Na Chuba negatorie Na! Na! Natoota...,0,0,2,0,10,0,0,0,0,0
62,SW_EpisodeVI,JABBA,Boscka!,0,0,0,0,10,0,0,0,0,0
63,SW_EpisodeVI,BOUSHH,I have come for the bounty on this Wookiee.,3,0,0,0,5,0,9,0,0,0
64,SW_EpisodeVI,THREEPIO,"Oh, no! Chewbacca!",0,7,0,9,0,10,0,0,8,0
65,SW_EpisodeVI,JABBA,At last we have the mighty Chewbacca.,9,0,0,0,0,2,8,0,0,0
66,SW_EpisodeVI,THREEPIO,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!",0,4,0,6,0,7,0,9,9,0
67,SW_EpisodeVI,THREEPIO,Oh. The illustrious Jabba bids you welcome and will gladly pay you the reward of twenty- five thousand.,8,0,0,0,0,0,7,0,0,0
68,SW_EpisodeVI,BOUSHH,I want fifty thousand. No less.,0,0,0,0,7,0,0,0,0,0
69,SW_EpisodeVI,THREEPIO,"Uh, oh... but what, what did I say? Uh, the mighty Jabba asks why he must pay fifty thousand.",0,4,0,0,0,0,0,9,8,0
70,SW_EpisodeVI,THREEPIO,Because he's holding a thermal detonator.,0,0,0,10,0,6,10,0,5,0
71,SW_EpisodeVI,JABBA,This bounty hunter is my kind of scum. Fearless and inventive.,0,0,7,0,8,0,0,0,3,0
72,SW_EpisodeVI,THREEPIO,Jabba offers the sum of thirty-five. And I suggest you take it.,0,0,3,0,6,0,6,0,0,0
73,SW_EpisodeVI,BOUSHH,Zeebuss.,0,0,0,0,0,0,7,0,0,0
74,SW_EpisodeVI,THREEPIO,He agrees!,10,0,0,0,0,0,0,0,0,0
75,SW_EpisodeVI,BOUSHH,Just relax for a moment. You're free of the carbonite.,0,0,0,0,4,0,7,0,0,0
76,SW_EpisodeVI,BOUSHH,Shhh. You have hibernation sickness.,0,0,0,0,0,0,7,0,0,0
77,SW_EpisodeVI,HAN,I can't see.,0,2,0,8,4,4,0,6,4,0
78,SW_EpisodeVI,BOUSHH,You eyesight will return in time.,0,0,0,0,0,0,10,0,0,0
79,SW_EpisodeVI,HAN,Where am I?,0,0,0,4,2,5,0,10,0,0
80,SW_EpisodeVI,BOUSHH,Jabba's palace.,0,0,0,0,0,0,5,0,0,0
81,SW_EpisodeVI,HAN,Who are you?,0,0,0,4,0,0,0,10,8,0
82,SW_EpisodeVI,LEIA,Someone who loves you.,10,0,0,0,0,0,10,0,0,8
83,SW_EpisodeVI,HAN,Leia!,0,0,0,0,0,10,0,0,0,0
84,SW_EpisodeVI,LEIA,I gotta get you out of here.,3,3,0,2,0,0,8,0,2,0
85,SW_EpisodeVI,HAN,What's that? I know that laugh.,4,0,0,0,0,2,6,9,0,0
86,SW_EpisodeVI,HAN,"Hey, Jabba. Look, Jabba, I was just on my way to pay you back, but I got a little sidetracked. It's not my fault.",0,0,0,3,0,0,6,0,3,0
